athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Anastasia Basalduk,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7546.36,12
Anastasiia Kostyleva,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7547.41,13
Daria Volobueva,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7558.41,14
Elizaveta Anufrieva,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7560.66,15
Serena Stel,NED,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7566.06,16
Emily Clarke,GBR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7657.31,17
Sofia Vakhrusheva,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7666.21,18
Eden Girloanta,ISR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7690.81,19
Nora Naessens,BEL,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7698.31,20
Sarah Demicoli,MLT,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7839.71,21
Mia Englender,ISR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7898.96,22
Polina Yuzofenko,UKR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7908.51,23
Lucie Zubalikova,CZE,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7922.66,24
Clara-Andreea Spanu,ROM,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,8292.26,25
Tal Ashkenazi,ISR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,8292.86,26
Guy Shlegel,ISR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,8297.86,27
end,,,2020_03_08_Eilat_10km_W,,,,,,,
