athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Xavier Desharnais,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Seguardo,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
