athlete_name,country,status,dob,count
Marie-Amélie Henriet,FRA,Active,,1
Marij Van Der Mast,NED,Active,,1
Marina Castro Atalaya,ESP,Active,,1
Marine Boudes,FRA,Active,,1
Marion Joffle,FRA,Active,,1
Marlene Blanke,GER,Active,,1
Marta Garzon Siles,ESP,Active,,1
Mathilde Lombard,FRA,Active,,1
May Levy,ISR,Active,,1
Megan De Wet,RSA,Active,,1
Mélie Boulianne,FRA,Active,,1
Mia Englender,ISR,Active,,1
Moa Holmquist,SWE,Active,,1
Mor Jacob,ISR,Active,,1
Nadia Blaauw,RSA,Active,,1
Nicole Oliva,USA,Active,,1
Nina Mikhailova,RUS,Active,,1
Noa Barderan,ISR,Active,,1
Noah Bondouy,FRA,Active,,1
Noga Baruch,ISR,Active,,1
Nolwenn Nunes,FRA,Active,,1
Norah Vigouroux,FRA,Active,,1
Ofir Rabina,ISR,Active,,1
Ofri Dueak,ISR,Active,,1
Olivia Mascarin,FRA,Active,,1
Ori Komemi,ISR,Active,,1
Paolina Istomina,RUS,Active,,1
Paula Otero Fernandez,ESP,Active,,1
Pauline Dauvin,FRA,Active,,1
Pavlina Soukupova,CZE,Active,,1
Perrine Courbet,FRA,Active,,1
Polina Kharitonova,RUS,Active,,1
Polina Yuzofenko,UKR,Active,,1
Reka Fehervari,HUN,Active,,1
Rosalie Levesque Pero,CAN,Active,,1
Sara Veress,HUN,Active,,1
Sarah Moreau,FRA,Active,,1
Scarlett Botes,RSA,Active,,1
Shelly Dekel,ISR,Active,,1
Sherine Bouftini,FRA,Active,,1
Shira Elbazis,ISR,Active,,1
Shira Golcman,ISR,Active,,1
Shira Kedem,ISR,Active,,1
Shiri Yamin,ISR,Active,,1
Sofia Vakhrusheva,RUS,Active,,1
Solene Cousseau,FRA,Active,,1
Stav Siminchi,ISR,Active,,1
Sude Nur Sucan,TUR,Active,,1
Tal Ashkenazi,ISR,Active,,1
Tamar Delmonte,ISR,Active,,1
Tamarrachel Nahmanny,ISR,Active,,1
Valentina Barbosa,FRA,Active,,1
Varvara Pogorelova,RUS,Active,,1
Veronica Santoni,ITA,Active,,1
Veronika Nikulina,RUS,Active,,1
Veronika Petrekova,CZE,Active,,1
Veronika Volikov,ISR,Active,,1
Vivien Nett,HUN,Active,,1
Yael Ravid,ISR,Active,,1
Yakut Ayse Yaprak,TUR,Active,,1
Yarden Harel,ISR,Active,,1
Yuval Natan,ISR,Active,,1
Zsofia Varga,HUN,Active,,1
Breanne Emma Joan Siwicki,CAN,Active,,1
Lauren Teghtsoonian,CAN,Active,,1
Leonie Van Noort,NED,Active,,1
Victoria Mock,CAN,Active,,1
Angelica Astorga,CRC,Active,,1
Anne-Catherine Savaria,CAN,Active,,1
Dina Levacic,CRO,Active,,1
Victoria Mori,ARG,Active,,1
Elena Lionello,ITA,Active,,1
Catalina Berraud,ARG,Active,,1
Daphnée Demers,CAN,Active,,1
Hannah Riordan,CAN,Active,,1
Sara E Holman,USA,Active,,1
Gwenaelle Plonquet-Thibault,CAN,Active,,1
Rosalie Levesque-Pero,CAN,Active,,1
Mary E Holman,USA,Active,,1
Dandan Yang,CHN,Active,,1
Xiaolin Yang,CHN,Active,,1
Shiyue Cao,CHN,Active,,1
Honoka Hasegawa,JPN,Active,,1
Ming Yu Claudia Wong,HKG,Active,,1
Taylor Pike,USA,Active,,1
Lee Tiffany Wan Fung,HKG,Active,,1
Shih-Han Su,TPE,Active,,1
Fabiana Lamberti,ITA,Active,,1
Catarina Ganyeuli,BRA,Active,,1
Lila Langlais,FRA,Active,,1
Inis Idier,FRA,Active,,1
Celeste Vereecke,FRA,Active,,1
Hanna Bakuniak,POL,Active,,1
Jill Reich,SUI,Active,,1
Kiah Melverton,AUS,Active,,1
Martina Rita Caramignoli,ITA,Active,,1
Chaya Simone Zabludoff,ISR,Active,,1
Ruthseli Guadalupe Aponte Teran,VEN,Active,,1
Heba Elkhouly,EGY,Active,,1
Patricia Guerrero,ECU,Active,,1
Nina Rakhimova,KAZ,Active,,1
Raquel Duran,CRC,Active,,1
Cindy Toscano,GUA,Active,,1
Doris Beros,CRO,Active,,1
Sasha-Lee Nordengen-Corris,RSA,Active,,1
Cathryn Salladin,USA,Active,,1
Caitlin Nolan,CAN,Active,,1
Antonija Bulicic,CRO,Active,,1
Catarina Cucatti Ganzeli,BRA,Active,,1
Marit Anderson,CAN,Active,,1
Isabella Rongione,USA,Active,,1
Maggie Wallace,USA,Active,,1
Cho Yiu Kwok,HKG,Active,,1
Maria Romero,ESP,Active,,1
Alba Romero,ESP,Active,,1
Agueda Cons,ESP,Active,,1
Paula Goyanes,ESP,Active,,1
Judith Navarro Silvestre,ESP,Active,,1
Franzi Heinrich,GER,Active,,1
Emma Wael,DEN,Active,,1
Dora Sztankovics,HUN,Active,,1
Fanni Kun-Szabo,HUN,Active,,1
Laura Dressayre,FRA,Active,,1
Morgane Garcia,FRA,Active,,1
Ines Idier,FRA,Active,,1
Charline Mace,FRA,Active,,1
Rachel Wothrich,SUI,Active,,1
Omer Shwartz,ISR,Active,,1
Ofek Adir,ISR,Active,,1
Bekky Pozdner,ISR,Active,,1
Eden Goldenberg,ISR,Active,,1
Alessia Ossoli,ITA,Active,,1
Clemence Coccordano,FRA,Active,,1
Emma Micheletti,ITA,Active,,1
Talya Erdogan,TUR,Active,,1
Federica Senatore,ITA,Active,,1
Elena Tortora,ITA,Active,,1
Renata Vigano,ITA,Active,,1
Anna Masetti,ITA,Active,,1
Ines Delacroix,FRA,Active,,1
Letizia Baldessari,ITA,Active,,1
Erica Tommassini,ITA,Active,,1
Ludovica Lugli,ITA,Active,,1
Candice Foix,FRA,Active,,1
Giorgia Gosetto,ITA,Active,,1
Sara Petrolli,ITA,Active,,1
Apolline Gallant,FRA,Active,,1
Elena Pavan,ITA,Active,,1
Marina Triantafyllidi,GRE,Active,,1
Hazel Bentley,IRL,Active,,1
Summer Smith,USA,Active,,1
Kensey Mcmahon,USA,Active,,1
Cibelle Jungblut,BRA,Active,,1
Anna Auld,USA,Active,,1
Moesha Johnson,AUS,Active,,1
Airi Ebina,JPN,Active,,1
Finella Gibbs-Beal,AUS,Active,,1
Emma Finlin,CAN,Active,,1
Abby Dunford,CAN,Active,,1
Isabella Babbitt,ECU,Active,,1
Ruby Heath,NZL,Active,,1
Citlalli Montserrat Mora Olivares,MEX,Active,,1
Jinha Kim,KOR,Active,,1
Leandra Torres,PUR,Active,,1
Candice Ruo Han Ang,SGP,Active,,1
Sofia Guevara,ECU,Active,,1
Alondra Itzel Quiles,PUR,Active,,1
Maria Porres,GUA,Active,,1
Maiza Cardozo,URU,Active,,1
Therese Soukup,SEY,Active,,1
Candela Giordanino,ARG,Active,,1
Katrina Bellio,CAN,Active,,1
Yu-Wen Teng,TPE,Active,,1
Paulina Alanis Hernandez,MEX,Active,,1
Hae Rim Lee,KOR,Active,,1
Jungju Park,KOR,Active,,1
Jocelyn Bermeo,ECU,Active,,1
Samantha Yeo,SGP,Active,,1
Natwara Bavornsukseri,THA,Active,,1
Hanano Kato,JPN,Active,,1
Hanyu Cheng,CHN,Active,,1
Kexin Wang,CHN,Active,,1
Jacqueline Davison-Mcgovern,AUS,Active,,1
Ilektra Varvara Lebl,GRE,Active,,1
Katja Fain,SLO,Active,,1
Fleur Lewis,CZE,Active,,1
Kennedy Denby,MKD,Active,,1
Livia Kingsland,SRB,Active,,1
Divna Simsic,GRE,Active,,1
Sofie Callo Von Platen,ITA,Active,,1
Megan Frost,CAN,Active,,1
Megan Willar,CAN,Active,,1
Lara Seifert,GER,Active,,1
Mariia Horodnia,UKR,Active,,1
Madison Emment,GBR,Active,,1
Bettina Fábián,HUN,Active,,1
Lia Csulak,HUN,Active,,1
Matea Sumajstorcic,CRO,Active,,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
end,,,,
