athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Yunnan Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,087.65",20
Evgenij Pop Acev,MKD,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,089.48",21
William Yan Thorley,HKG,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,105.84",22
Araya Pumchitamorn,THA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,633.16",23
Jaime Arevalo,BOL,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"8,430.45",24
end,,,2019_09_29_Chun'An_10km,,,,,,,0
Marc-Antoine Olivier,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,586.60",1
Rob Muffels,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,599.20",2
Florian Wellbrock,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,599.30",3
Fares Zitouni,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,600.80",4
Gregorio Paltrinieri,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,601.00",5
Marcello Guidi,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,601.40",6
Hayden Paul Cotter,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,601.50",7
Ferry Weertman,NED,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,602.60",8
Jack Burnell,GBR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,603.10",9
Hector Thomas Cheal Pardoe,GBR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,603.60",10
Kirill Abrosimov,RUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,605.60",11
Simone Ruffini,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,606.50",12
Niklas Frach,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,606.90",13
Mario Sanzullo,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,607.50",14
Matteo Furlan,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,607.50",15
Bailey Armstrong,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,607.50",16
Kai Graeme Edwards,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,607.60",17
Axel Reymond,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,607.90",18
Esteban Enderica Salgado,ECU,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,608.10",19
David Farinango,ECU,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,608.10",20
Pepijn Smits,NED,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,608.10",21
Tiago Campos,POR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,608.30",22
Alberto Martinez,ESP,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,608.40",23
Clement Batte,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,609.10",24
Nicholas Sloman,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,609.50",25
Andrea Manzi,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,610.90",26
Vitaliy Khudyakov,KAZ,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,611.30",27
Andreas Waschburger,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,611.60",28
Athanasios Kynigakis,GRE,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,611.70",29
Pasquale Sanzullo,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,611.70",30
David Castro,ECU,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,611.80",31
Daniel Szekelyi,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,612.20",32
Alessio Occhipinti,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,612.30",33
Soeren Meissner,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,612.90",34
Peter Galicz,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,613.20",35
Taishin Minamide,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,613.90",36
David Betlehem,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,614.70",37
Christian Keber,GER,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,614.70",38
Guillem Pujol,ESP,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,616.00",39
Alexis Vandevelde,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,620.40",40
Krzysztof Pielowski,POL,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,620.70",41
Rafael Gil,POR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,621.10",42
Nicholas Rollo,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,621.20",43
Jules Wallart,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,621.90",44
Dario Verani,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,623.20",45
Francesco Ghettini,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,624.30",46
David Huszti,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,627.40",47
Riku Kuwazoe,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,645.90",48
Lev Cherepanov,KAZ,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,657.10",49
Sebastien Dureux,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,658.90",50
Elliot Sodemann,SWE,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,661.50",51
Igor Chervynskiy,UKR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,667.70",52
Takeshi Toyoda,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,670.70",53
Franco Ivo Cassini,ARG,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,675.80",54
Enzo Kihara,BRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,680.30",55
Jan Hercog,AUT,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,681.50",56
Evgenij Pop Acev,MKD,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,685.20",57
Jack Wilson,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,700.60",58
Leo Ouabdesselam,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,701.00",59
Marcel Schouten,NED,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,710.60",60
Sacha Velly,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,720.80",61
Federico Salghetti-Drioli,SUI,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,724.00",62
Damien Joly,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,724.60",63
Kristof Rasovszky,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,728.90",64
Clement Kukla,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,752.00",65
Allan Do Carmo,BRA,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,804.30",66
Daigo Wada,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,897.60",67
Matej Kozubek,CZE,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,968.60",68
Ahmed Hafnaoui,TUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"6,968.80",69
Taiki Nonaka,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"7,065.30",70
