athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place,,,
Santiago ENDERICA,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,9,,,
Nicolas MASSE-SAVARD,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,10,,,
Diogo VILLARINHO,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,11,,,
Davy BILLIAU,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,12,,,
Xavier DESHARNAIS,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,13,,,
Edouard BELANGER,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,14,,,
Aleksandar ILIEVSKI,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,15,,,
Aquiles BALAUDO,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,16,,,
Tristan FILION,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,17,,,
end,,,2016_06_28_Roberval_10km,,,,,,,0,,,
Alex MEYER,,06/30/2016,FINA Grand Prix,"Roberval, CAN",32,No Current,Cold,16,,1,,,
Edoardo STOCHINO,,06/30/2016,FINA Grand Prix,"Roberval, CAN",32,No Current,Cold,16,,2,,,
Tomi STEFANOVSKI,,06/30/2016,FINA Grand Prix,"Roberval, CAN",32,No Current,Cold,16,,3,,,
Edouard LEHOUX,,06/30/2016,FINA Grand Prix,"Roberval, CAN",32,No Current,Cold,16,,4,,,
Evgenij POP ACEV,,06/30/2016,FINA Grand Prix,"Roberval, CAN",32,No Current,Cold,16,,5,,,
